id,name,host_id,price,neighborhood,accommodates,room_type,borough,minimum_nights,maximum_nights,availability_90,beds,review_scores_rating,number_of_reviews,number_of_reviews_ltm,listing_url
94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",473113,129,Crown Heights,2,Entire home/apt,Brooklyn,6,182,5,1,4.85,117,5,https://www.airbnb.com/rooms/94783
95747,Lovely 1BR in Tree-lined WBurg,509341,140,Williamsburg,2,Entire home/apt,Brooklyn,7,365,37,1,5,14,1,https://www.airbnb.com/rooms/95747
95883,Spacious Loft in Clinton Hill,509918,200,Bedford-Stuyvesant,6,Entire home/apt,Brooklyn,6,30,0,4,4.6,5,0,https://www.airbnb.com/rooms/95883
98663,Groovy NYC Chelsea Pad,520279,130,Chelsea,2,Entire home/apt,Manhattan,30,60,0,1,4.81,19,0,https://www.airbnb.com/rooms/98663
99085,Sunny Bklyn Jewel  Fort Greene,522164,123,Fort Greene,2,Entire home/apt,Brooklyn,30,90,2,1,5,22,5,https://www.airbnb.com/rooms/99085
99662,Your Cozy Home - Center of New York,524730,135,Lower East Side,2,Entire home/apt,Manhattan,30,150,0,1,4.28,28,0,https://www.airbnb.com/rooms/99662
100002,"MANHATTAN Cozy, Neat, Nice, Bright ROOM",523218,50,Washington Heights,2,Private room,Manhattan,30,45,82,1,4.68,151,0,https://www.airbnb.com/rooms/100002
100368,Greenwich Village Brownstone -- Huge Private Deck,526105,222,Chelsea,2,Entire home/apt,Manhattan,30,270,4,1,4.84,35,3,https://www.airbnb.com/rooms/100368
102995,UWS Brownstone Near Central Park,178043,212,Upper West Side,3,Entire home/apt,Manhattan,30,30,2,3,4.65,45,0,https://www.airbnb.com/rooms/102995
103161,Cozy+well equipped top fl apt - PRIME Williamsburg,465278,195,Williamsburg,2,Entire home/apt,Brooklyn,7,300,66,2,4.77,138,5,https://www.airbnb.com/rooms/103161
103311,2 BR w/ Terrace @ Box House Hotel,417504,599,Greenpoint,6,Private room,Brooklyn,3,365,0,3,4.17,9,0,https://www.airbnb.com/rooms/103311
105790,Holiday special near Columbia Univ!,548817,80,Harlem,2,Private room,Manhattan,30,365,90,0,4.86,144,0,https://www.airbnb.com/rooms/105790
106363,Bright Room With A Great River View,551055,69,Harlem,1,Private room,Manhattan,5,30,6,1,4.85,422,5,https://www.airbnb.com/rooms/106363
106647,Tree lined block modern apartment,552679,145,Bedford-Stuyvesant,4,Entire home/apt,Brooklyn,7,60,7,2,4.87,106,9,https://www.airbnb.com/rooms/106647
107630,Sweet Historic Greenpoint Duplex,306739,175,Greenpoint,3,Entire home/apt,Brooklyn,3,90,19,2,4.73,286,15,https://www.airbnb.com/rooms/107630
107895,Riverside Charm with Fire Place,3088389,120,Upper West Side,2,Entire home/apt,Manhattan,90,360,1,1,4.62,61,2,https://www.airbnb.com/rooms/107895
110576,Historic House of Music & Art NYC!,568103,180,Financial District,3,Private room,Manhattan,45,300,62,2,4.64,53,2,https://www.airbnb.com/rooms/110576
110739,"Nomad/Chelsea Loft Studio, big work space, 2 desks",568568,142,Chelsea,2,Entire home/apt,Manhattan,9,1125,24,2,4.92,66,8,https://www.airbnb.com/rooms/110739
112100,Sunny 3BR Apt Ideal for Family,572527,165,Crown Heights,6,Entire home/apt,Brooklyn,30,40,2,4,4.5,3,0,https://www.airbnb.com/rooms/112100
112435,ALL ABOUT A VERY COMFORTABLE ROOM..,181376,95,Fort Greene,2,Private room,Brooklyn,30,30,90,1,4.62,177,0,https://www.airbnb.com/rooms/112435
113265,Brooklyn- Crown Heights Garden Apt.,314582,55,Crown Heights,2,Private room,Brooklyn,30,730,78,1,4.75,270,0,https://www.airbnb.com/rooms/113265
115535,Sun-Drenched Hamilton Hts Jewel,567187,65,Harlem,1,Private room,Manhattan,30,365,0,1,4.76,34,0,https://www.airbnb.com/rooms/115535
115748,1 BDRM Apt-Weekend Sublease,585166,60,Astoria,2,Entire home/apt,Queens,5,30,16,1,4.57,34,2,https://www.airbnb.com/rooms/115748
116551,Beautiful Harlem Studio Apartment - private access,497672,68,Harlem,4,Entire home/apt,Manhattan,30,730,7,2,4.48,171,1,https://www.airbnb.com/rooms/116551
118061,Style in Stuyvesant Heights,2248897,95,Bedford-Stuyvesant,2,Entire home/apt,Brooklyn,30,90,54,2,4.8,85,0,https://www.airbnb.com/rooms/118061
121687,Spacious Brooklyn Loft - 2 Bedroom,262812,250,Williamsburg,6,Entire home/apt,Brooklyn,30,90,82,0,4.49,56,1,https://www.airbnb.com/rooms/121687
